Filename,Hand Posture
Test539.ppm,Point
Test116.ppm,Point
Test139.ppm,Five
Test209.ppm,Point
Test265.ppm,Point
Test160.ppm,Five
Test490.ppm,Five
Test461.ppm,Five
Test639.ppm,C
Test405.ppm,B
Test220.ppm,Five
Test510.ppm,Point
Test571.ppm,Five
Test609.ppm,Five
Test293.ppm,B
Test621.ppm,Five
Test463.ppm,Point
Test456.ppm,Five
Test514.ppm,Five
Test472.ppm,Point
Test117.ppm,Point
Test574.ppm,Five
Test377.ppm,Point
Test313.ppm,B
Test325.ppm,Point
Test231.ppm,A
Test435.ppm,Five
Test553.ppm,Point
Test551.ppm,Five
Test361.ppm,A
Test423.ppm,Point
Test474.ppm,A
Test210.ppm,Five
Test395.ppm,V
Test658.ppm,Point
Test57.ppm,B
Test470.ppm,Point
Test138.ppm,Five
Test291.ppm,Five
Test638.ppm,V
Test607.ppm,Five
Test383.ppm,C
Test148.ppm,A
Test203.ppm,A
Test479.ppm,Point
Test9.ppm,B
Test301.ppm,B
Test213.ppm,Point
Test623.ppm,Five
Test538.ppm,Five
Test270.ppm,Point
Test73.ppm,Five
Test154.ppm,V
Test177.ppm,Five
Test125.ppm,C
Test356.ppm,Point
Test100.ppm,Point
Test99.ppm,Five
Test95.ppm,Point
Test141.ppm,A
Test477.ppm,Five
Test43.ppm,Point
Test193.ppm,A
Test438.ppm,Five
Test119.ppm,C
Test276.ppm,Point
Test78.ppm,Five
Test302.ppm,Point
Test323.ppm,C
Test261.ppm,Point
Test544.ppm,Five
Test113.ppm,Point
Test37.ppm,V
Test516.ppm,Five
Test170.ppm,Five
Test343.ppm,Five
Test363.ppm,Point
Test60.ppm,Point
Test450.ppm,C
Test565.ppm,V
Test192.ppm,V
Test540.ppm,Point
Test223.ppm,A
Test655.ppm,Point
Test279.ppm,Point
Test143.ppm,Point
Test304.ppm,Five
Test79.ppm,Five
Test29.ppm,Five
Test64.ppm,Point
Test404.ppm,Point
Test416.ppm,C
Test354.ppm,Five
Test599.ppm,B
Test364.ppm,Five
Test162.ppm,B
Test134.ppm,V
Test207.ppm,Point
Test401.ppm,B
Test588.ppm,Point
Test184.ppm,B
Test567.ppm,Five
Test352.ppm,Point
Test288.ppm,A
Test1.ppm,V
Test547.ppm,V
Test542.ppm,C
Test345.ppm,Five
Test444.ppm,B
Test489.ppm,Point
Test273.ppm,Point
Test413.ppm,Point
Test128.ppm,V
Test335.ppm,B
Test441.ppm,Point
Test235.ppm,Point
Test595.ppm,Five
Test324.ppm,Point
Test382.ppm,Point
Test564.ppm,Five
Test227.ppm,Point
Test532.ppm,C
Test351.ppm,Point
Test232.ppm,B
Test169.ppm,Point
Test201.ppm,B
Test502.ppm,C
Test485.ppm,Point
Test534.ppm,B
Test165.ppm,Point
Test494.ppm,Five
Test185.ppm,Five
Test632.ppm,Point
Test654.ppm,Five
Test322.ppm,A
Test24.ppm,Five
Test341.ppm,B
Test40.ppm,Five
Test47.ppm,A
Test52.ppm,Five
Test216.ppm,Point
Test440.ppm,A
Test360.ppm,Five
Test414.ppm,Five
Test81.ppm,Point
Test136.ppm,B
Test615.ppm,Five
Test18.ppm,B
Test186.ppm,Five
Test421.ppm,V
Test561.ppm,Five
Test238.ppm,C
Test226.ppm,B
Test282.ppm,Point
Test511.ppm,Point
Test653.ppm,Point
Test426.ppm,Five
Test627.ppm,Five
Test508.ppm,Five
Test74.ppm,Point
Test240.ppm,Five
Test583.ppm,C
Test590.ppm,Point
Test120.ppm,A
Test242.ppm,V
Test496.ppm,Five
Test388.ppm,Five
Test72.ppm,Five
Test278.ppm,Five
Test334.ppm,Point
Test481.ppm,Five
Test34.ppm,V
Test381.ppm,C
Test6.ppm,Five
Test390.ppm,Point
Test434.ppm,A
Test11.ppm,B
Test54.ppm,Point
Test453.ppm,Point
Test2.ppm,Point
Test446.ppm,B
Test552.ppm,C
Test506.ppm,Five
Test333.ppm,Point
Test67.ppm,B
Test167.ppm,Five
Test380.ppm,A
Test195.ppm,Five
Test17.ppm,Point
Test172.ppm,Point
Test62.ppm,Five
Test641.ppm,Point
Test244.ppm,A
Test359.ppm,Point
Test38.ppm,A
Test181.ppm,V
Test523.ppm,Point
Test123.ppm,B
Test592.ppm,Point
Test398.ppm,Point
Test124.ppm,C
Test12.ppm,Five
Test111.ppm,B
Test94.ppm,A
Test549.ppm,C
Test603.ppm,Point
Test253.ppm,B
Test53.ppm,B
Test659.ppm,Five
Test630.ppm,C
Test522.ppm,C
Test586.ppm,Five
Test305.ppm,Five
Test219.ppm,Point
Test410.ppm,B
Test580.ppm,B
Test473.ppm,B
Test554.ppm,Point
Test142.ppm,V
Test180.ppm,Point
Test636.ppm,Five
Test315.ppm,Five
Test233.ppm,A
Test13.ppm,V
Test297.ppm,V
Test70.ppm,Point
Test45.ppm,Point
Test237.ppm,V
Test214.ppm,A
Test115.ppm,Five
Test292.ppm,Point
Test431.ppm,Point
Test155.ppm,Point
Test86.ppm,A
Test518.ppm,A
Test10.ppm,Five
Test455.ppm,A
Test486.ppm,Five
Test258.ppm,B
Test412.ppm,Point
Test394.ppm,Five
Test290.ppm,Five
Test295.ppm,Point
Test269.ppm,Five
Test326.ppm,Five
Test568.ppm,Five
Test480.ppm,Five
Test425.ppm,Five
Test112.ppm,Point
Test646.ppm,V
Test89.ppm,Five
Test597.ppm,Five
Test373.ppm,Point
Test501.ppm,Five
Test245.ppm,Point
Test578.ppm,C
Test533.ppm,C
Test650.ppm,A
Test199.ppm,A
Test617.ppm,A
Test224.ppm,A
Test39.ppm,B
Test146.ppm,Point
Test558.ppm,Five
Test575.ppm,Point
Test85.ppm,Point
Test579.ppm,A
Test465.ppm,Point
Test464.ppm,Five
Test332.ppm,B
Test259.ppm,Five
Test515.ppm,Five
Test296.ppm,Point
Test483.ppm,B
Test422.ppm,Point
Test178.ppm,Point
Test25.ppm,Five
Test572.ppm,C
Test379.ppm,B
Test488.ppm,A
Test589.ppm,C
Test121.ppm,Five
Test173.ppm,C
Test563.ppm,V
Test492.ppm,Point
Test338.ppm,C
Test33.ppm,V
Test61.ppm,Point
Test370.ppm,Five
Test520.ppm,C
Test498.ppm,Point
Test432.ppm,B
Test631.ppm,Five
Test604.ppm,Five
Test397.ppm,Point
Test475.ppm,Point
Test166.ppm,B
Test605.ppm,Five
Test417.ppm,Five
Test26.ppm,Point
Test328.ppm,B
Test526.ppm,V
Test386.ppm,Five
Test263.ppm,Point
Test7.ppm,C
Test642.ppm,Point
Test248.ppm,A
Test174.ppm,Five
Test509.ppm,C
Test77.ppm,Five
Test246.ppm,Point
Test517.ppm,A
Test21.ppm,Point
Test457.ppm,Five
Test513.ppm,B
Test445.ppm,Five
Test577.ppm,B
Test471.ppm,Five
Test535.ppm,V
Test582.ppm,Point
Test570.ppm,Point
Test84.ppm,B
Test536.ppm,Five
Test63.ppm,B
Test260.ppm,Five
Test347.ppm,Point
Test92.ppm,A
Test491.ppm,Five
Test649.ppm,Point
Test49.ppm,C
Test593.ppm,Point
Test229.ppm,Point
Test585.ppm,C
Test645.ppm,Point
Test187.ppm,Point
Test656.ppm,Point
Test249.ppm,Five
Test478.ppm,Five
Test451.ppm,Five
Test362.ppm,Point
Test277.ppm,Point
Test487.ppm,V
Test344.ppm,Five
Test107.ppm,Point
Test254.ppm,Five
Test346.ppm,Five
Test408.ppm,Five
Test524.ppm,A
Test602.ppm,Point
Test371.ppm,Five
Test601.ppm,Five
Test234.ppm,A
Test647.ppm,Point
Test497.ppm,Five
Test97.ppm,Point
Test122.ppm,A
Test339.ppm,Point
Test633.ppm,V
Test88.ppm,Five
Test289.ppm,C
Test420.ppm,A
Test19.ppm,Point
Test152.ppm,C
Test537.ppm,Five
Test311.ppm,B
Test436.ppm,B
Test96.ppm,B
Test640.ppm,Point
Test387.ppm,Point
Test629.ppm,Point
Test529.ppm,Five
Test495.ppm,Five
Test200.ppm,Point
Test256.ppm,Point
Test581.ppm,C
Test189.ppm,A
Test637.ppm,A
Test109.ppm,Five
Test452.ppm,A
Test372.ppm,A
Test392.ppm,Five
Test36.ppm,V
Test69.ppm,Five
Test204.ppm,Point
Test159.ppm,B
Test241.ppm,C
Test132.ppm,Point
Test212.ppm,B
Test215.ppm,Five
Test268.ppm,Five
Test250.ppm,Point
Test281.ppm,C
Test505.ppm,B
Test462.ppm,Five
Test396.ppm,B
Test368.ppm,B
Test106.ppm,B
Test448.ppm,B
Test183.ppm,C
Test576.ppm,Five
Test427.ppm,Five
Test376.ppm,Point
Test225.ppm,Five
Test32.ppm,C
Test527.ppm,V
Test14.ppm,Five
Test620.ppm,Point
Test87.ppm,Point
Test101.ppm,Point
Test31.ppm,Five
Test606.ppm,V
Test385.ppm,Point
Test342.ppm,Point
Test366.ppm,Point
Test643.ppm,A
Test374.ppm,Five
Test56.ppm,B
Test252.ppm,Point
Test504.ppm,Five
Test319.ppm,Point
Test358.ppm,Point
Test308.ppm,Five
Test591.ppm,Five
Test357.ppm,Five
Test158.ppm,C
Test103.ppm,Point
Test221.ppm,C
Test20.ppm,Point
Test365.ppm,V
Test191.ppm,V
Test208.ppm,Five
Test179.ppm,Point
Test652.ppm,C
Test175.ppm,Five
Test118.ppm,Five
Test337.ppm,Point
Test90.ppm,A
Test218.ppm,Five
Test176.ppm,C
Test531.ppm,Point
Test68.ppm,Five
Test299.ppm,B
Test48.ppm,A
Test182.ppm,B
Test255.ppm,Point
Test50.ppm,Point
Test147.ppm,Point
Test316.ppm,Five
Test350.ppm,Point
Test327.ppm,Point
Test271.ppm,C
Test27.ppm,Point
Test251.ppm,Point
Test320.ppm,A
Test560.ppm,Point
Test624.ppm,Point
Test447.ppm,Point
Test482.ppm,B
Test44.ppm,V
Test349.ppm,Point
Test493.ppm,A
Test610.ppm,Point
Test557.ppm,Point
Test8.ppm,B
Test93.ppm,B
Test314.ppm,Five
Test267.ppm,C
Test550.ppm,Point
Test317.ppm,Five
Test286.ppm,Point
Test76.ppm,Point
Test443.ppm,V
Test584.ppm,Five
Test55.ppm,Five
Test566.ppm,Point
Test243.ppm,C
Test197.ppm,Point
Test105.ppm,Point
Test507.ppm,Five
Test428.ppm,Five
Test228.ppm,Point
Test202.ppm,A
Test429.ppm,Five
Test102.ppm,A
Test530.ppm,A
Test543.ppm,Point
Test512.ppm,Point
Test626.ppm,Point
Test521.ppm,Point
Test3.ppm,Five
Test46.ppm,A
Test635.ppm,C
Test411.ppm,C
Test126.ppm,B
Test403.ppm,Point
Test466.ppm,Five
Test23.ppm,B
Test104.ppm,A
Test541.ppm,Five
Test285.ppm,Five
Test283.ppm,Point
Test499.ppm,Point
Test275.ppm,A
Test156.ppm,Point
Test264.ppm,Five
Test4.ppm,C
Test114.ppm,B
Test340.ppm,A
Test525.ppm,Five
Test468.ppm,Five
Test331.ppm,Point
Test573.ppm,C
Test355.ppm,V
Test628.ppm,B
Test467.ppm,Point
Test149.ppm,Five
Test145.ppm,Five
Test548.ppm,Five
Test217.ppm,Point
Test369.ppm,A
Test188.ppm,Point
Test587.ppm,A
Test239.ppm,Five
Test391.ppm,V
Test618.ppm,A
Test137.ppm,Point
Test262.ppm,V
Test519.ppm,Point
Test598.ppm,Five
Test608.ppm,Five
